epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,229.882,0.91998,0.56425,1.00067,0.81552,0.82788,0.89485,0.67017,0.90756,0.59478,1.02564,0.001274,0.001274,0.001274
57,233.908,0.88416,0.54639,0.99343,0.8261,0.85322,0.9057,0.68116,0.88001,0.59529,1.01372,0.0012608,0.0012608,0.0012608
58,237.986,0.90022,0.55691,0.99807,0.82545,0.85227,0.91143,0.68797,0.87391,0.56671,1.00867,0.0012476,0.0012476,0.0012476
59,242.077,0.90188,0.55882,0.99436,0.84319,0.83565,0.90496,0.67989,0.89361,0.61692,1.00947,0.0012344,0.0012344,0.0012344
60,246.19,0.94069,0.55439,1.00372,0.82672,0.83629,0.8987,0.67232,0.89183,0.58915,1.01144,0.0012212,0.0012212,0.0012212
61,250.27,0.91895,0.55397,0.99101,0.82885,0.82049,0.89656,0.67068,0.90488,0.59285,1.01991,0.001208,0.001208,0.001208
62,254.344,0.89842,0.54305,0.991,0.8278,0.83721,0.90537,0.68333,0.89266,0.56836,1.01138,0.0011948,0.0011948,0.0011948
63,258.394,0.89758,0.54495,0.99226,0.8427,0.83809,0.90689,0.68359,0.88443,0.58344,1.01733,0.0011816,0.0011816,0.0011816
64,262.489,0.87277,0.54018,0.98795,0.83511,0.83756,0.90919,0.68715,0.87568,0.56987,1.00176,0.0011684,0.0011684,0.0011684
65,266.55,0.87725,0.53787,0.98164,0.83417,0.84864,0.9109,0.68828,0.87763,0.58365,1.00754,0.0011552,0.0011552,0.0011552
66,270.779,0.89069,0.54676,0.99236,0.83556,0.83721,0.9022,0.67968,0.88884,0.58407,1.01094,0.001142,0.001142,0.001142
67,274.839,0.87113,0.52716,0.98227,0.83032,0.85146,0.90721,0.685,0.89121,0.59781,1.01566,0.0011288,0.0011288,0.0011288
68,278.876,0.85735,0.52008,0.97648,0.83053,0.83405,0.90307,0.67686,0.8982,0.59533,1.01968,0.0011156,0.0011156,0.0011156
69,282.96,0.89843,0.53993,0.99629,0.82246,0.84372,0.90162,0.67545,0.90429,0.603,1.01059,0.0011024,0.0011024,0.0011024
70,287.066,0.87316,0.53821,0.98915,0.82266,0.81399,0.88936,0.6708,0.88632,0.59965,1.01282,0.0010892,0.0010892,0.0010892
71,291.138,0.89324,0.5403,0.9906,0.83151,0.82946,0.89772,0.66738,0.90577,0.59027,1.01561,0.001076,0.001076,0.001076
72,295.241,0.88765,0.53447,0.98366,0.84357,0.84143,0.90897,0.68497,0.87748,0.573,1.01021,0.0010628,0.0010628,0.0010628
73,299.316,0.85144,0.52289,0.97773,0.83352,0.85648,0.91249,0.69103,0.87318,0.57827,1.00659,0.0010496,0.0010496,0.0010496
74,303.448,0.85376,0.51958,0.97591,0.83917,0.84302,0.90643,0.68214,0.89126,0.59604,1.02045,0.0010364,0.0010364,0.0010364
