epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,312.126,0.82885,0.52165,0.97547,0.84143,0.78617,0.8865,0.66976,0.87972,0.59144,1.00991,0.0009968,0.0009968,0.0009968
78,316.176,0.83354,0.51439,0.97289,0.83044,0.83421,0.90004,0.67541,0.89775,0.6052,1.01675,0.0009836,0.0009836,0.0009836
79,320.153,0.85209,0.52367,0.97761,0.84093,0.82049,0.89336,0.65544,0.94914,0.61091,1.03794,0.0009704,0.0009704,0.0009704
80,324.204,0.84657,0.5112,0.96508,0.82092,0.81886,0.88911,0.66225,0.91859,0.61822,1.02172,0.0009572,0.0009572,0.0009572
81,328.213,0.8482,0.5233,0.97076,0.82673,0.83897,0.89956,0.6753,0.89952,0.60806,1.01315,0.000944,0.000944,0.000944
82,332.243,0.857,0.52342,0.97969,0.82295,0.84913,0.90242,0.6829,0.8764,0.59312,1.01042,0.0009308,0.0009308,0.0009308
83,336.277,0.84703,0.51354,0.967,0.82823,0.84935,0.9029,0.67888,0.89162,0.61236,1.01624,0.0009176,0.0009176,0.0009176
84,340.308,0.86609,0.52704,0.98016,0.83678,0.81274,0.89407,0.66495,0.90922,0.58303,1.01693,0.0009044,0.0009044,0.0009044
85,344.317,0.84344,0.51027,0.96954,0.83799,0.82295,0.90109,0.67239,0.90233,0.5756,1.01773,0.0008912,0.0008912,0.0008912
86,348.325,0.8449,0.51131,0.97348,0.83306,0.82365,0.90029,0.67915,0.89095,0.59204,1.01792,0.000878,0.000878,0.000878
87,352.364,0.8648,0.51159,0.97222,0.82845,0.85164,0.90339,0.66848,0.93451,0.59606,1.03886,0.0008648,0.0008648,0.0008648
88,356.367,0.83475,0.5033,0.96767,0.84138,0.83644,0.9099,0.68734,0.88428,0.58595,1.02263,0.0008516,0.0008516,0.0008516
89,360.389,0.83184,0.50987,0.96337,0.83515,0.82858,0.90534,0.68327,0.88749,0.56475,1.01358,0.0008384,0.0008384,0.0008384
